iter	Passed	Remaining
503	952	937
504	953	934
505	954	932
506	956	929
507	957	927
508	958	924
509	959	922
510	961	919
511	962	917
512	963	915
513	965	912
514	966	910
515	967	907
516	969	905
517	970	903
518	972	900
519	973	898
520	974	896
521	975	893
522	977	891
523	978	888
524	979	886
525	980	884
526	982	881
527	983	879
528	984	876
529	986	874
530	987	872
531	988	869
532	989	867
533	991	865
534	992	862
535	994	860
536	995	858
537	996	855
538	997	853
539	998	850
540	1000	848
541	1001	846
542	1002	843
543	1004	841
544	1005	839
545	1006	837
546	1008	834
547	1009	832
548	1010	830
549	1011	827
550	1013	825
551	1014	823
552	1015	821
553	1017	818
554	1018	816
555	1019	814
556	1020	811
557	1022	809
558	1023	807
559	1024	805
560	1025	802
561	1027	800
562	1028	798
563	1029	795
564	1030	793
565	1031	790
566	1032	788
567	1033	786
568	1034	783
569	1036	781
570	1037	779
571	1038	777
572	1039	774
573	1040	772
574	1042	770
575	1043	767
576	1044	765
577	1046	763
578	1047	761
579	1049	759
580	1050	757
581	1051	755
582	1052	752
583	1053	750
584	1055	748
585	1056	746
586	1057	744
587	1059	742
588	1060	740
589	1061	737
590	1062	735
591	1064	733
592	1065	731
593	1066	729
594	1068	727
595	1069	725
596	1070	722
597	1072	720
598	1073	718
599	1074	716
600	1075	714
601	1076	711
602	1077	709
603	1079	707
604	1080	705
605	1081	703
606	1082	701
607	1084	698
608	1085	696
609	1086	694
610	1087	692
611	1089	690
612	1090	688
613	1091	686
614	1092	683
615	1093	681
616	1094	679
617	1096	677
618	1097	675
619	1098	673
620	1099	671
621	1101	669
622	1102	667
623	1103	664
624	1104	662
625	1105	660
626	1106	658
627	1108	656
628	1109	654
629	1110	652
630	1111	650
631	1113	648
632	1114	646
633	1115	643
634	1116	641
635	1117	639
636	1119	637
637	1120	635
638	1121	633
639	1122	631
640	1124	629
641	1125	627
642	1126	625
643	1127	623
644	1128	621
645	1129	619
646	1130	617
647	1132	614
648	1133	612
649	1134	610
650	1135	608
651	1136	606
652	1138	604
653	1139	602
654	1140	600
655	1142	598
656	1143	596
657	1144	595
658	1146	593
659	1147	591
660	1148	589
661	1150	587
662	1151	585
663	1152	583
664	1154	581
665	1156	580
666	1158	578
667	1160	576
668	1161	574
669	1163	572
670	1164	570
671	1165	568
672	1167	567
673	1168	565
674	1169	563
675	1171	561
676	1172	559
677	1173	557
678	1174	555
679	1175	553
680	1176	551
681	1177	549
682	1179	547
683	1180	545
684	1181	543
685	1182	541
686	1183	539
687	1184	537
688	1186	535
689	1187	533
690	1188	531
691	1189	529
692	1191	527
693	1192	525
694	1193	523
695	1194	521
696	1195	519
697	1196	517
698	1197	515
699	1198	513
700	1200	511
701	1201	510
702	1202	508
703	1203	506
704	1205	504
705	1205	502
706	1207	500
707	1208	498
708	1209	496
709	1210	494
710	1211	492
711	1213	490
712	1214	488
713	1215	486
714	1216	484
715	1217	483
716	1219	481
717	1220	479
718	1221	477
719	1222	475
720	1223	473
721	1225	471
722	1226	469
723	1227	467
724	1228	465
725	1229	464
726	1230	462
727	1232	460
728	1233	458
729	1234	456
730	1235	454
731	1236	452
732	1237	450
733	1238	448
734	1239	446
735	1240	444
736	1241	443
737	1242	441
738	1243	439
739	1244	437
740	1245	435
741	1246	433
742	1247	431
743	1248	429
744	1249	427
745	1250	425
746	1251	423
747	1252	422
748	1253	420
749	1255	418
750	1256	416
751	1256	414
752	1258	412
753	1259	410
754	1260	408
755	1261	407
756	1262	405
757	1263	403
758	1264	401
759	1265	399
760	1266	397
761	1267	395
762	1268	393
763	1269	392
764	1270	390
765	1271	388
766	1272	386
767	1273	384
768	1274	382
769	1275	380
770	1276	379
771	1277	377
772	1278	375
773	1279	373
774	1280	371
775	1281	369
776	1282	368
777	1283	366
778	1284	364
779	1285	362
780	1286	360
781	1287	358
782	1288	357
783	1289	355
784	1290	353
785	1291	351
786	1292	349
787	1293	348
788	1294	346
789	1295	344
790	1297	342
791	1298	340
792	1299	339
793	1300	337
794	1301	335
795	1302	333
796	1303	331
797	1304	330
798	1305	328
799	1306	326
800	1307	324
801	1308	323
802	1309	321
803	1310	319
804	1311	317
805	1312	315
806	1313	314
807	1314	312
808	1315	310
809	1316	308
810	1317	306
811	1318	305
812	1319	303
813	1320	301
814	1321	299
815	1322	298
816	1323	296
817	1324	294
818	1325	292
819	1326	291
820	1327	289
821	1328	287
822	1329	285
823	1330	284
824	1331	282
825	1332	280
826	1333	278
827	1334	277
828	1335	275
829	1336	273
830	1337	271
831	1338	270
832	1339	268
833	1340	266
834	1341	265
835	1342	263
836	1343	261
837	1344	259
838	1345	258
839	1346	256
840	1347	254
841	1348	252
842	1349	251
843	1350	249
844	1351	247
845	1352	246
846	1353	244
847	1354	242
848	1355	241
849	1356	239
850	1357	237
851	1358	235
852	1359	234
853	1359	232
854	1360	230
855	1361	229
856	1362	227
857	1363	225
858	1364	224
859	1365	222
860	1366	220
861	1367	218
862	1368	217
863	1369	215
864	1370	213
865	1371	212
866	1372	210
867	1373	208
868	1374	207
869	1375	205
870	1376	203
871	1377	202
872	1378	200
873	1379	198
874	1380	197
875	1381	195
876	1382	193
877	1383	192
878	1384	190
879	1385	188
880	1386	187
881	1387	185
882	1388	184
883	1389	182
884	1390	180
885	1391	179
886	1392	177
887	1393	175
888	1395	174
889	1396	172
890	1396	170
891	1397	169
892	1399	167
893	1400	165
894	1400	164
895	1401	162
896	1402	161
897	1403	159
898	1404	157
899	1405	156
900	1406	154
901	1407	152
902	1408	151
903	1409	149
904	1410	148
905	1411	146
906	1412	144
907	1413	143
908	1414	141
909	1415	140
910	1416	138
911	1417	136
912	1418	135
913	1419	133
914	1420	131
915	1421	130
916	1422	128
917	1423	127
918	1424	125
919	1425	123
920	1426	122
921	1427	120
922	1428	119
923	1429	117
924	1430	115
925	1431	114
926	1432	112
927	1433	111
928	1434	109
929	1435	108
930	1436	106
931	1437	104
932	1438	103
933	1439	101
934	1440	100
935	1441	98
936	1442	96
937	1443	95
938	1444	93
939	1445	92
940	1446	90
941	1447	89
942	1448	87
943	1449	85
944	1450	84
945	1451	82
946	1452	81
947	1453	79
948	1454	78
949	1455	76
950	1456	75
951	1457	73
952	1458	71
953	1459	70
954	1460	68
955	1461	67
956	1462	65
957	1463	64
958	1464	62
959	1465	61
960	1466	59
961	1468	57
962	1469	56
963	1470	54
964	1471	53
965	1472	51
966	1473	50
967	1474	48
968	1475	47
969	1476	45
970	1477	44
971	1478	42
972	1479	41
973	1480	39
974	1481	37
975	1482	36
976	1483	34
977	1484	33
978	1485	31
979	1486	30
980	1487	28
981	1488	27
982	1489	25
983	1490	24
984	1491	22
985	1492	21
986	1493	19
987	1494	18
988	1495	16
989	1496	15
990	1497	13
991	1498	12
992	1499	10
993	1500	9
994	1501	7
995	1502	6
996	1503	4
997	1504	3
998	1505	1
999	1506	0
